Time elapsed was 114137621ns or 0.114137621s,0.114137621
Time elapsed was 105453763ns or 0.105453763s,0.105453763
Time elapsed was 103387603ns or 0.103387603s,0.103387603
Time elapsed was 99686691ns or 0.099686691s,0.099686691
Time elapsed was 101833906ns or 0.101833906s,0.101833906
Time elapsed was 102461027ns or 0.102461027s,0.102461027
Time elapsed was 101999601ns or 0.101999601s,0.101999601
Time elapsed was 100926140ns or 0.100926140s,0.10092614
Time elapsed was 102277674ns or 0.102277674s,0.102277674
Time elapsed was 97140728ns or 0.097140728s,0.097140728
,
Total time in seconds,1.029304754
Mean time in seconds,0.1029304754
