Time elapsed was 129ns or 0.000000129s,129
Time elapsed was 137ns or 0.000000137s,137
Time elapsed was 182ns or 0.000000182s,182
Time elapsed was 62ns or 0.000000062s,62
Time elapsed was 163ns or 0.000000163s,163
Time elapsed was 193ns or 0.000000193s,193
Time elapsed was 120ns or 0.000000120s,120
Time elapsed was 203ns or 0.000000203s,203
Time elapsed was 195ns or 0.000000195s,195
Time elapsed was 253ns or 0.000000253s,253
,
Total time in nanoseconds,1637
Mean time in nanoseconds,163.7
