Time elapsed was 246925ns or 0.000246925s,0.000246925
Time elapsed was 209798ns or 0.000209798s,0.000209798
Time elapsed was 263150ns or 0.000263150s,0.00026315
Time elapsed was 216047ns or 0.000216047s,0.000216047
Time elapsed was 494330ns or 0.000494330s,0.00049433
Time elapsed was 208033ns or 0.000208033s,0.000208033
Time elapsed was 246443ns or 0.000246443s,0.000246443
Time elapsed was 205448ns or 0.000205448s,0.000205448
Time elapsed was 266058ns or 0.000266058s,0.000266058
Time elapsed was 200267ns or 0.000200267s,0.000200267
,
Total time in seconds,0.002556499
Mean time in seconds,0.0002556499
