Time elapsed was 97204336ns or 0.097204336s,,0.097204336
Time elapsed was 82760322ns or 0.082760322s,,0.082760322
Time elapsed was 80748772ns or 0.080748772s,,0.080748772
Time elapsed was 82690984ns or 0.082690984s,,0.082690984
Time elapsed was 84560123ns or 0.084560123s,,0.084560123
Time elapsed was 78602231ns or 0.078602231s,,0.078602231
Time elapsed was 81358585ns or 0.081358585s,,0.081358585
Time elapsed was 81771516ns or 0.081771516s,,0.081771516
Time elapsed was 80760957ns or 0.080760957s,,0.080760957
Time elapsed was 77794450ns or 0.077794450s,,0.07779445
,,
Total time in seconds for AZ9999,,0.828252276
Mean time in seconds for AZ9999,,0.0828252276
