TIme elapsed was 260049097nsec or 0.260049097sec,,0.260049097
TIme elapsed was 315717232nsec or 0.315717232sec,,0.315717232
TIme elapsed was 307475551nsec or 0.307475551sec,,0.307475551
TIme elapsed was 315797064nsec or 0.315797064sec,,0.315797064
TIme elapsed was 310768196nsec or 0.310768196sec,,0.310768196
TIme elapsed was 301439033nsec or 0.301439033sec,,0.301439033
TIme elapsed was 310106880nsec or 0.310106880sec,,0.31010688
TIme elapsed was 264389759nsec or 0.264389759sec,,0.264389759
TIme elapsed was 301720675nsec or 0.301720675sec,,0.301720675
TIme elapsed was 323603824nsec or 0.323603824sec,,0.323603824
,,
Total time in seconds,,3.011067311
,,
Mean time in seconds,,0.3011067311
